Q-wave(ms)	S-wave(ms)	QS-width(ms)	Abnormal or Normal
0	1447	1447	Large Width (QS > 120ms)
-44	1658	1702	Large Width (QS > 120ms)
1769	0	
2136	2219	83	Normal Width
2511	2927	416	Large Width (QS > 120ms)
2908	3300	392	Large Width (QS > 120ms)
3280	3675	395	Large Width (QS > 120ms)
3655	4041	386	Large Width (QS > 120ms)
-44	4769	4813	Large Width (QS > 120ms)
5869	5961	92	Normal Width
6266	6711	445	Large Width (QS > 120ms)
6694	7094	400	Large Width (QS > 120ms)
7075	7475	400	Large Width (QS > 120ms)
7455	7844	389	Large Width (QS > 120ms)
7825	8455	630	Large Width (QS > 120ms)
11305	11983	678	Large Width (QS > 120ms)
11966	12422	456	Large Width (QS > 120ms)
12402	12786	384	Large Width (QS > 120ms)
12766	13388	622	Large Width (QS > 120ms)
13372	14002	630	Large Width (QS > 120ms)
13983	14602	619	Large Width (QS > 120ms)
14583	15202	619	Large Width (QS > 120ms)
15183	15811	628	Large Width (QS > 120ms)
15791	0	
16380	17036	656	Large Width (QS > 120ms)
17016	17669	653	Large Width (QS > 120ms)
17650	18333	683	Large Width (QS > 120ms)
18316	19002	686	Large Width (QS > 120ms)
18986	19658	672	Large Width (QS > 120ms)
19641	20316	675	Large Width (QS > 120ms)
20300	20952	652	Large Width (QS > 120ms)
20933	21513	580	Large Width (QS > 120ms)
21494	22186	692	Large Width (QS > 120ms)
22733	23427	694	Large Width (QS > 120ms)
23408	24088	680	Large Width (QS > 120ms)
24072	24752	680	Large Width (QS > 120ms)
24736	25422	686	Large Width (QS > 120ms)
25402	26038	636	Large Width (QS > 120ms)
26022	26666	644	Large Width (QS > 120ms)
26647	27286	639	Large Width (QS > 120ms)
27266	27922	656	Large Width (QS > 120ms)
27902	28544	642	Large Width (QS > 120ms)
28525	29169	644	Large Width (QS > 120ms)
29152	29827	675	Large Width (QS > 120ms)
29808	30458	650	Large Width (QS > 120ms)
30438	31150	712	Large Width (QS > 120ms)
31133	31797	664	Large Width (QS > 120ms)
31777	32450	673	Large Width (QS > 120ms)
32433	33105	672	Large Width (QS > 120ms)
33088	33761	673	Large Width (QS > 120ms)
33741	34383	642	Large Width (QS > 120ms)
34366	34997	631	Large Width (QS > 120ms)
34980	35650	670	Large Width (QS > 120ms)
35630	36338	708	Large Width (QS > 120ms)
36319	37030	711	Large Width (QS > 120ms)
37013	37694	681	Large Width (QS > 120ms)
37675	38344	669	Large Width (QS > 120ms)
38325	38983	658	Large Width (QS > 120ms)
38963	39619	656	Large Width (QS > 120ms)
39600	40250	650	Large Width (QS > 120ms)
40230	40866	636	Large Width (QS > 120ms)
40847	41525	678	Large Width (QS > 120ms)
41508	42211	703	Large Width (QS > 120ms)
42194	42877	683	Large Width (QS > 120ms)
42861	43522	661	Large Width (QS > 120ms)
43502	44161	659	Large Width (QS > 120ms)
44141	44822	681	Large Width (QS > 120ms)
44802	45347	545	Large Width (QS > 120ms)
45327	46100	773	Large Width (QS > 120ms)
46080	46711	631	Large Width (QS > 120ms)
46691	47375	684	Large Width (QS > 120ms)
47355	48044	689	Large Width (QS > 120ms)
48027	48705	678	Large Width (QS > 120ms)
48688	49380	692	Large Width (QS > 120ms)
49361	50019	658	Large Width (QS > 120ms)
50000	50655	655	Large Width (QS > 120ms)
50636	51302	666	Large Width (QS > 120ms)
51286	51930	644	Large Width (QS > 120ms)
51913	52538	625	Large Width (QS > 120ms)
52516	53197	681	Large Width (QS > 120ms)
53177	53888	711	Large Width (QS > 120ms)
53872	54572	700	Large Width (QS > 120ms)
54555	55216	661	Large Width (QS > 120ms)
55200	55855	655	Large Width (QS > 120ms)
55836	56508	672	Large Width (QS > 120ms)
56488	57133	645	Large Width (QS > 120ms)
57113	57761	648	Large Width (QS > 120ms)
57744	58400	656	Large Width (QS > 120ms)
58380	59011	631	Large Width (QS > 120ms)
58991	59669	678	Large Width (QS > 120ms)
59650	60325	675	Large Width (QS > 120ms)
60308	60997	689	Large Width (QS > 120ms)
60980	61661	681	Large Width (QS > 120ms)
61641	62308	667	Large Width (QS > 120ms)
62288	62788	500	Large Width (QS > 120ms)
62769	63519	750	Large Width (QS > 120ms)
63500	64169	669	Large Width (QS > 120ms)
64150	64775	625	Large Width (QS > 120ms)
64755	65413	658	Large Width (QS > 120ms)
65394	66077	683	Large Width (QS > 120ms)
66061	66738	677	Large Width (QS > 120ms)
66722	67394	672	Large Width (QS > 120ms)
67377	68033	656	Large Width (QS > 120ms)
68016	68663	647	Large Width (QS > 120ms)
68644	69169	525	Large Width (QS > 120ms)
69150	69902	752	Large Width (QS > 120ms)
69886	70536	650	Large Width (QS > 120ms)
71116	71791	675	Large Width (QS > 120ms)
71772	72455	683	Large Width (QS > 120ms)
72438	73111	673	Large Width (QS > 120ms)
73094	73741	647	Large Width (QS > 120ms)
73722	74386	664	Large Width (QS > 120ms)
74366	75019	653	Large Width (QS > 120ms)
75000	75661	661	Large Width (QS > 120ms)
75644	76288	644	Large Width (QS > 120ms)
76272	76894	622	Large Width (QS > 120ms)
76875	77552	677	Large Width (QS > 120ms)
77536	78238	702	Large Width (QS > 120ms)
78222	78919	697	Large Width (QS > 120ms)
78900	79577	677	Large Width (QS > 120ms)
79561	80211	650	Large Width (QS > 120ms)
80191	80841	650	Large Width (QS > 120ms)
80822	81455	633	Large Width (QS > 120ms)
81436	81986	550	Large Width (QS > 120ms)
81966	82655	689	Large Width (QS > 120ms)
82636	83286	650	Large Width (QS > 120ms)
83269	83936	667	Large Width (QS > 120ms)
83919	84569	650	Large Width (QS > 120ms)
84552	85202	650	Large Width (QS > 120ms)
85183	85830	647	Large Width (QS > 120ms)
85808	86483	675	Large Width (QS > 120ms)
86466	0	
86911	87161	250	Large Width (QS > 120ms)
87300	87386	86	Normal Width
87869	88666	797	Large Width (QS > 120ms)
88647	89333	686	Large Width (QS > 120ms)
89313	90000	687	Large Width (QS > 120ms)
89983	90652	669	Large Width (QS > 120ms)
90633	91311	678	Large Width (QS > 120ms)
91291	91938	647	Large Width (QS > 120ms)
91922	92566	644	Large Width (QS > 120ms)
92547	93183	636	Large Width (QS > 120ms)
93166	93786	620	Large Width (QS > 120ms)
93766	94391	625	Large Width (QS > 120ms)
94372	94930	558	Large Width (QS > 120ms)
94911	95638	727	Large Width (QS > 120ms)
95622	96302	680	Large Width (QS > 120ms)
96286	96952	666	Large Width (QS > 120ms)
96933	97588	655	Large Width (QS > 120ms)
97572	98155	583	Large Width (QS > 120ms)
98136	98858	722	Large Width (QS > 120ms)
98841	99502	661	Large Width (QS > 120ms)
99483	0	
100091	100758	667	Large Width (QS > 120ms)
100738	101258	520	Large Width (QS > 120ms)
101238	102044	806	Large Width (QS > 120ms)
102025	102700	675	Large Width (QS > 120ms)
102683	103372	689	Large Width (QS > 120ms)
103355	104025	670	Large Width (QS > 120ms)
104008	104655	647	Large Width (QS > 120ms)
104638	105277	639	Large Width (QS > 120ms)
