R-Peak Detected	 	RR Interval(ms)	Abnormal or Normal
1477	1111	366	Small Interval (RR<600ms)
1850	1477	373	Small Interval (RR<600ms)
2211	1850	361	Small Interval (RR<600ms)
2588	2211	377	Small Interval (RR<600ms)
2958	2588	370	Small Interval (RR<600ms)
3333	2958	375	Small Interval (RR<600ms)
3705	3333	372	Small Interval (RR<600ms)
4075	3705	370	Small Interval (RR<600ms)
5952	4075	1877	Big Interval (RR>1200ms)
6344	5952	392	Small Interval (RR<600ms)
6744	6344	400	Small Interval (RR<600ms)
7127	6744	383	Small Interval (RR<600ms)
7508	7127	381	Small Interval (RR<600ms)
7877	7508	369	Small Interval (RR<600ms)
12016	11383	633	Normal Interval
12452	12016	436	Small Interval (RR<600ms)
12819	12452	367	Small Interval (RR<600ms)
13422	12819	603	Normal Interval
14033	13422	611	Normal Interval
14636	14033	603	Normal Interval
15233	14636	597	Small Interval (RR<600ms)
15858	15233	625	Normal Interval
16455	15858	597	Small Interval (RR<600ms)
17069	16455	614	Normal Interval
17702	17069	633	Normal Interval
18366	17702	664	Normal Interval
19036	18366	670	Normal Interval
19691	19036	655	Normal Interval
20350	19691	659	Normal Interval
20983	20350	633	Normal Interval
21544	20983	561	Small Interval (RR<600ms)
22811	21544	1267	Big Interval (RR>1200ms)
23461	22811	650	Normal Interval
24122	23461	661	Normal Interval
24786	24122	664	Normal Interval
25455	24786	669	Normal Interval
26072	25455	617	Normal Interval
26697	26072	625	Normal Interval
27319	26697	622	Normal Interval
27955	27319	636	Normal Interval
28575	27955	620	Normal Interval
29202	28575	627	Normal Interval
29861	29202	659	Normal Interval
30491	29861	630	Normal Interval
31183	30491	692	Normal Interval
31830	31183	647	Normal Interval
32483	31830	653	Normal Interval
33138	32483	655	Normal Interval
33791	33138	653	Normal Interval
34416	33791	625	Normal Interval
35030	34416	614	Normal Interval
35680	35030	650	Normal Interval
36369	35680	689	Normal Interval
37063	36369	694	Normal Interval
37727	37063	664	Normal Interval
38375	37727	648	Normal Interval
39016	38375	641	Normal Interval
